2023-07-14 05:03:40.392 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 30104 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:03:40.404 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:03:45.547 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 5.801 seconds (process running for 6.259)
2023-07-14 05:06:01.850 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [id=0, first_name=null, last_name=Singh, email=john.doe@example.com, phone_number=1234567890, job_title=Manager, department=Sales]
2023-07-14 05:06:01.964 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=33, first_name=null, last_name=Singh, email=john.doe@example.com, phone_number=1234567890, job_title=Manager, department=Sales]
2023-07-14 05:27:20.429 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 41956 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:27:20.432 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:27:25.132 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 5.317 seconds (process running for 5.793)
2023-07-14 05:27:42.995 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=Singh, email=john.doe@example.com, phone_number=1234567890, job_title=Manager, department=Sales]
2023-07-14 05:27:43.095 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=34, first_name=null, last_name=Singh, email=john.doe@example.com, phone_number=1234567890, job_title=Manager, department=Sales]
2023-07-14 05:29:17.174 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 28616 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:29:17.176 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:29:21.132 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 4.626 seconds (process running for 5.085)
2023-07-14 05:29:35.281 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:29:35.402 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=35, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:36:56.177 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 37148 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:36:56.179 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:37:00.844 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 5.256 seconds (process running for 5.688)
2023-07-14 05:37:24.808 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:37:24.905 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=36, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:37:27.133 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:37:27.149 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=37, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:41:11.758 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 32904 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:41:11.762 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:41:17.084 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 5.891 seconds (process running for 6.303)
2023-07-14 05:41:20.146 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:41:20.266 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=38, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:48:32.548 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 20112 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:48:32.551 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:48:38.547 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 6.591 seconds (process running for 7.01)
2023-07-14 05:48:45.186 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:48:45.309 [http-nio-8080-exec-1] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=39, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:48:46.140 [http-nio-8080-exec-3] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:48:46.160 [http-nio-8080-exec-3] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=40, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:50:31.800 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 31908 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:50:31.804 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:50:38.295 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 7.134 seconds (process running for 7.598)
2023-07-14 05:50:39.620 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:50:39.731 [http-nio-8080-exec-2] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=41, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=null]
2023-07-14 05:50:41.875 [http-nio-8080-exec-3] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:50:41.888 [http-nio-8080-exec-3] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=42, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=null]
2023-07-14 05:50:42.760 [http-nio-8080-exec-4] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:50:42.774 [http-nio-8080-exec-4] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=43, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=null]
2023-07-14 05:51:00.049 [http-nio-8080-exec-5] INFO  c.e.t.Controller.EmployeeController - Inserting employee: Employee [first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=Sales]
2023-07-14 05:51:00.079 [http-nio-8080-exec-5] INFO  c.e.t.Controller.EmployeeController - Employee inserted successfully: Employee [id=44, first_name=null, last_name=null, email=null, phone_number=null, job_title=null, department=null]
2023-07-14 05:51:22.184 [main] INFO  com.example.test_1.Test1Application - Starting Test1Application using Java 17.0.7 with PID 24668 (C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application\Backend\Test_1\target\classes started by chetan.singh in C:\Users\chetan.singh\Desktop\Desktop\POC_Application\POC_Application)
2023-07-14 05:51:22.188 [main] INFO  com.example.test_1.Test1Application - No active profile set, falling back to 1 default profile: "default"
2023-07-14 05:51:28.279 [main] INFO  com.example.test_1.Test1Application - Started Test1Application in 6.784 seconds (process running for 7.245)
